,authors,title,venue,year,type,id,cited by,title_ranking
2385,"Mohammed Algarni, Brent Martin, Tim Bell, Kourosh Nehsatian",Simple Arabic Stemmer.,CIKM,2014,Conference and Workshop Papers,simplearabicstemmer2014,,Simple Arabic Stemmer
2386,"Mossaab Bagdouri, Douglas W. Oard, Vittorio Castelli",CLIR for Informal Content in Arabic Forum Posts.,CIKM,2014,Conference and Workshop Papers,clirforinformalcontentinarabicforumposts2014,,CLIR Informal Content Arabic Forum Posts
2387,"Maram Hasanain, Tamer Elsayed, Walid Magdy",Identification of Answer-Seeking Questions in Arabic Microblogs.,CIKM,2014,Conference and Workshop Papers,identificationofanswerseekingquestionsinarabicmicroblogs2014,,Identification AnswerSeeking Questions Arabic Microblogs
2388,"Riccardo Del Gratta, Ouafae Nahli",Enhancing Arabic WordNet with the use of Princeton WordNet and a bilingual dictionary.,CIST,2014,Conference and Workshop Papers,enhancingarabicwordnetwiththeuseofprincetonwordnetandabilingualdictionary2014,7.0,Enhancing Arabic WordNet Princeton WordNet bilingual dictionary
2389,"Angelo Mario Del Grosso, Ouafae Nahli",Towards a flexible open-source software library for multi-layered scholarly textual studies - An Arabic case study dealing with semi-automatic language processing.,CIST,2014,Conference and Workshop Papers,towardsaflexibleopensourcesoftwarelibraryformultilayeredscholarlytextualstudiesanarabiccasestudydealingwithsemiautomaticlanguageprocessing2014,,Towards flexible opensource software library multilayered scholarly textual studies Arabic study dealing semiautomatic language processing
2390,"Abdelkader El Mahdaouy, Éric Gaussier, Saïd El Alaoui Ouatik",Exploring term proximity statistic for Arabic information retrieval.,CIST,2014,Conference and Workshop Papers,exploringtermproximitystatisticforarabicinformationretrieval2014,12.0,Exploring term proximity statistic Arabic information retrieval
2391,"Ahlam Maqqor, Akram Halli, Khalid Satori, Hamid Tairi",Off-line recognition handwriting Arabic words using combination of multiple classifiers.,CIST,2014,Conference and Workshop Papers,offlinerecognitionhandwritingarabicwordsusingcombinationofmultipleclassifiers2014,,Offline recognition handwriting Arabic words combination multiple classifiers
2392,"Claudia Marzi, Ouafae Nahli, Marcello Ferro",Word processing for Arabic language - A reappraisal of morphology induction through adaptive memory self-organisation strategies.,CIST,2014,Conference and Workshop Papers,wordprocessingforarabiclanguageareappraisalofmorphologyinductionthroughadaptivememoryselforganisationstrategies2014,,Word processing Arabic language reappraisal morphology induction adaptive memory selforganisation strategies
2393,"Ali Sadiqui, Ahmed Zinedine",A new method to construct a statistical model for Arabic language.,CIST,2014,Conference and Workshop Papers,anewmethodtoconstructastatisticalmodelforarabiclanguage2014,,method construct statistical model Arabic language
2394,"Issam Sahmoudi, Abdelmonaime Lachkar",Interactive system based on web search results clustering for Arabic query reformulation.,CIST,2014,Conference and Workshop Papers,interactivesystembasedonwebsearchresultsclusteringforarabicqueryreformulation2014,,Interactive system based web search results clustering Arabic query reformulation
2395,Youssef Tahir,An XML database for modern standard Arabic (MSA) verbs generated from triliteral roots.,CIST,2014,Conference and Workshop Papers,anxmldatabaseformodernstandardarabicmsaverbsgeneratedfromtriliteralroots2014,,XML database Arabic MSA verbs generated triliteral roots
2396,"Jorge Vivaldi, Horacio Rodríguez",Arabic medical terms compilation from Wikipedia.,CIST,2014,Conference and Workshop Papers,arabicmedicaltermscompilationfromwikipedia2014,,Arabic medical terms compilation Wikipedia
2397,"Petr Zemánek, Jirí Milicka","Quotations, Relevance and Time Depth - Medieval Arabic Literature in Grids and Networks.",CLfL@EACL,2014,Conference and Workshop Papers,quotationsrelevanceandtimedepthmedievalarabicliteratureingridsandnetworks2014,,Quotations Relevance Time Depth Medieval Arabic Literature Grids Networks
2398,"Faraz Ahmad Khan, Ahmed Bouridane, Fouad Khelifi, Rasheed Almotaeryi, Sumaya Almaadeed",Efficient segmentation of sub-words within handwritten arabic words.,CoDIT,2014,Conference and Workshop Papers,efficientsegmentationofsubwordswithinhandwrittenarabicwords2014,,Efficient segmentation subwords handwritten arabic words
2399,"Rania Al-Sabbagh, Roxana Girju, Jana Diesner",3arif - A Corpus of Modern Standard and Egyptian Arabic Tweets Annotated for Epistemic Modality Using Interactive Crowdsourcing.,COLING,2014,Conference and Workshop Papers,3arifacorpusofmodernstandardandegyptianarabictweetsannotatedforepistemicmodalityusinginteractivecrowdsourcing2014,,3arif Corpus Egyptian Arabic Tweets Annotated Epistemic Modality Interactive Crowdsourcing
2400,"Fahd Alotaibi, Mark G. Lee",A Hybrid Approach to Features Representation for Fine-grained Arabic Named Entity Recognition.,COLING,2014,Conference and Workshop Papers,ahybridapproachtofeaturesrepresentationforfinegrainedarabicnamedentityrecognition2014,,Hybrid Approach Features Representation Finegrained Arabic Named Entity Recognition
2401,Young-Suk Lee,Confusion Network for Arabic Name Disambiguation and Transliteration in Statistical Machine Translation.,COLING,2014,Conference and Workshop Papers,confusionnetworkforarabicnamedisambiguationandtransliterationinstatisticalmachinetranslation2014,,Confusion Network Arabic Name Disambiguation Transliteration Statistical Machine Translation
2402,"Fatiha Sadat, Fatma Mallek, Mohamed Mahdi Boudabous, Rahma Sellami, Atefeh Farzindar",Collaboratively Constructed Linguistic Resources for Language Variants and their Exploitation in NLP Application - the case of Tunisian Arabic and the Social Media.,LG-LP@COLING,2014,Conference and Workshop Papers,collaborativelyconstructedlinguisticresourcesforlanguagevariantsandtheirexploitationinnlpapplicationthecaseoftunisianarabicandthesocialmedia2014,,Collaboratively Constructed Linguistic Resources Language Variants Exploitation NLP Application Tunisian Arabic Social
2403,"Mohamed Al-Badrashiny, Ramy Eskander, Nizar Habash, Owen Rambow",Automatic Transliteration of Romanized Dialectal Arabic.,CoNLL,2014,Conference and Workshop Papers,automatictransliterationofromanizeddialectalarabic2014,75.0,Automatic Transliteration Romanized Dialectal Arabic
2404,"Anis Mezghani, Fouad Slimane, Slim Kanoun, Volker Märgner",Identification of Arabic/French Handwritten/Printed Words using GMM-Based System.,CORIA-CIFED,2014,Conference and Workshop Papers,identificationofarabicfrenchhandwrittenprintedwordsusinggmmbasedsystem2014,,Identification ArabicFrench HandwrittenPrinted Words GMMBased System
2405,"Pantelis M. Papadopoulos, Zeinab Ibrahim, Andreas Karatsolis",Teaching the Arabic Alphabet to Kindergarteners - Writing Activities on Paper and Surface Computers.,CSEDU,2014,Conference and Workshop Papers,teachingthearabicalphabettokindergartenerswritingactivitiesonpaperandsurfacecomputers2014,,Teaching Arabic Alphabet Kindergarteners Writing Activities Paper Surface Computers
2406,"Yousef Ajami Alotaibi, Ali H. Meftah, Sid-Ahmed Selouani",Investigating the impact of phonetic cross language modeling on Arabic and English speech recognition.,CSNDSP,2014,Conference and Workshop Papers,investigatingtheimpactofphoneticcrosslanguagemodelingonarabicandenglishspeechrecognition2014,,Investigating impact phonetic cross language modeling Arabic speech recognition
2407,"Yousef Ajami Alotaibi, Ali H. Meftah, Sid-Ahmed Selouani, Yasser Mohammad Seddiq",Speaker environment classification using rhythm metrics in Levantine Arabic dialect.,CSNDSP,2014,Conference and Workshop Papers,speakerenvironmentclassificationusingrhythmmetricsinlevantinearabicdialect2014,3.0,Speaker environment classification rhythm metrics Levantine Arabic dialect
2408,"Menna Bakry, Mohamed Khamis, Slim Abdennadher",AreCAPTCHA - Outsourcing Arabic Text Digitization to Native Speakers.,Document Analysis Systems,2014,Conference and Workshop Papers,arecaptchaoutsourcingarabictextdigitizationtonativespeakers2014,,AreCAPTCHA Outsourcing Arabic Text Digitization Native Speakers
2409,"Théodore Bluche, Jérôme Louradour, Maxime Knibbe, Bastien Moysset, Mohamed Faouzi BenZeghiba, Christopher Kermorvant",The A2iA Arabic Handwritten Text Recognition System at the Open HaRT2013 Evaluation.,Document Analysis Systems,2014,Conference and Workshop Papers,thea2iaarabichandwrittentextrecognitionsystemattheopenhart2013evaluation2014,,A2iA Arabic Handwritten Text Recognition System HaRT2013 Evaluation
2410,"Chawki Djeddi, Labiba Souici-Meslati, Imran Siddiqi, Abdellatif Ennaji, Haikal El Abed, Abdeljalil Gattal",Evaluation of Texture Features for Offline Arabic Writer Identification.,Document Analysis Systems,2014,Conference and Workshop Papers,evaluationoftexturefeaturesforofflinearabicwriteridentification2014,,Evaluation Texture Features Offline Arabic Writer Identification
2411,"Mahdi Hamdani, Patrick Doetsch, Michal Kozielski, Amr El-Desoky Mousa, Hermann Ney",The RWTH Large Vocabulary Arabic Handwriting Recognition System.,Document Analysis Systems,2014,Conference and Workshop Papers,therwthlargevocabularyarabichandwritingrecognitionsystem2014,,RWTH Vocabulary Arabic Handwriting Recognition System
2412,"Anguelos Nicolaou, Fouad Slimane, Volker Märgner, Marcus Liwicki",Local Binary Patterns for Arabic Optical Font Recognition.,Document Analysis Systems,2014,Conference and Workshop Papers,localbinarypatternsforarabicopticalfontrecognition2014,,Local Binary Patterns Arabic Optical Font Recognition
2413,"Tebbi Hanane, Hamadouche Maamar, Azzoune Hamid",TTS-SA (A text-to-speech system based on Standard Arabic).,DICTAP,2014,Conference and Workshop Papers,ttssaatexttospeechsystembasedonstandardarabic2014,,TTSSA texttospeech system based Arabic
2414,"Claire Clivaz, Sara Schulthess, David Bouvier, Herman Teule",Arabic and Greek New Testament manuscripts - Identities and Digital cultures.,DH,2014,Conference and Workshop Papers,arabicandgreeknewtestamentmanuscriptsidentitiesanddigitalcultures2014,,Arabic Greek Testament manuscripts Identities Digital cultures
2415,Johannes Thomann,The Arabic Papyrology Database.,DH,2014,Conference and Workshop Papers,thearabicpapyrologydatabase2014,,Arabic Papyrology Database
2416,"Maha Althobaiti 0001, Udo Kruschwitz, Massimo Poesio",Automatic Creation of Arabic Named Entity Annotated Corpus Using Wikipedia.,EACL,2014,Conference and Workshop Papers,automaticcreationofarabicnamedentityannotatedcorpususingwikipedia2014,21.0,Automatic Creation Arabic Named Entity Annotated Corpus Wikipedia
2417,,The ASMAT project - Arabic social media analysis tools.,EAMT,2014,Conference and Workshop Papers,theasmatprojectarabicsocialmediaanalysistools2014,,ASMAT project Arabic social analysis tools
2418,"Abdel Ghani Karkar, Moutaz S. Saleh, Sawsan Saad, Jihad Mohamad Al Ja&apos;am",An arabic ontology-based learning system for children with intellectual challenges.,EDUCON,2014,Conference and Workshop Papers,anarabicontologybasedlearningsystemforchildrenwithintellectualchallenges2014,,arabic ontologybased learning system children intellectual challenges
2419,"Houda Bouamor, Hanan Alshikhabobakr, Behrang Mohit, Kemal Oflazer",A Human Judgement Corpus and a Metric for Arabic MT Evaluation.,EMNLP,2014,Conference and Workshop Papers,ahumanjudgementcorpusandametricforarabicmtevaluation2014,,Human Judgement Corpus Metric Arabic MT Evaluation
2420,"Kareem Darwish, Hassan Sajjad, Hamdy Mubarak",Verifiably Effective Arabic Dialect Identification.,EMNLP,2014,Conference and Workshop Papers,verifiablyeffectivearabicdialectidentification2014,57.0,Verifiably Effective Arabic Dialect Identification
2421,Jalel Akaichi,Sentiment Classification at the Time of the Tunisian Uprising - Machine Learning Techniques Applied to a New Corpus for Arabic Language.,ENIC,2014,Conference and Workshop Papers,sentimentclassificationatthetimeofthetunisianuprisingmachinelearningtechniquesappliedtoanewcorpusforarabiclanguage2014,,Sentiment Classification Time Tunisian Uprising Machine Learning Techniques Applied Corpus Arabic Language
2422,"Nawaf A. Abdulla, Roa&apos;a Majdalawi, Salwa Mohammed, Mahmoud Al-Ayyoub, Mohammed Al-Kabi",Automatic Lexicon Construction for Arabic Sentiment Analysis.,FiCloud,2014,Conference and Workshop Papers,automaticlexiconconstructionforarabicsentimentanalysis2014,,Automatic Lexicon Construction Arabic Sentiment Analysis
2423,"Qasem A. Al-Radaideh, Laila M. Twaiq",Rough Set Theory for Arabic Sentiment Classification.,FiCloud,2014,Conference and Workshop Papers,roughsettheoryforarabicsentimentclassification2014,17.0,Rough Set Theory Arabic Sentiment Classification
2424,"Rehab M. Duwairi, Islam Qarqaz",Arabic Sentiment Analysis Using Supervised Classification.,FiCloud,2014,Conference and Workshop Papers,arabicsentimentanalysisusingsupervisedclassification2014,96.0,Arabic Sentiment Analysis Supervised Classification
2425,"Sirine Boukedi, Kais Haddar",HPSG Grammar for Arabic Coordination Experimented with LKB System.,FLAIRS Conference,2014,Conference and Workshop Papers,hpsggrammarforarabiccoordinationexperimentedwithlkbsystem2014,,HPSG Grammar Arabic Coordination Experimented LKB System
2426,"Tebbi Hanane, Hamadouche Maamar, Azzoune Hamid",Toward a human-machine voice interface based Standard Arabic.,GSCIT,2014,Conference and Workshop Papers,towardahumanmachinevoiceinterfacebasedstandardarabic2014,,humanmachine voice interface based Arabic
2427,"Hend S. Al-Khalifa, Muna S. Al-Razgan",ACCESS - A Free and Open Source Arabic Assistive Technology Repository.,HCI,2014,Conference and Workshop Papers,accessafreeandopensourcearabicassistivetechnologyrepository2014,,ACCESS Free Source Arabic Assistive Technology Repository
2428,"Norah I. Al-Quwayfili, Hend S. Al-Khalifa",AraMedReader - An Arabic Medicine Identifier Using Barcodes.,HCI,2014,Conference and Workshop Papers,aramedreaderanarabicmedicineidentifierusingbarcodes2014,,AraMedReader Arabic Medicine Identifier Barcodes
2429,"Arwa Al-Rubaian, Lama Alssum, Rawan Alharbi, Wafa Alrajhi, Haifa K. Aldayel, Nora Alangari, Hadeel Al-Negheimish, Aljohara Alfayez, Sara Alwaalan, Rania Aljindan, Ashwag Al-Shathri, Dania Al-Omar, Ghada Al-Hudhud, Areej Al-Wabil",The Design and Development of Empathetic Serious Games for Dyslexia - BCI Arabic Phonological Processing Training Systems.,HCI,2014,Conference and Workshop Papers,thedesignanddevelopmentofempatheticseriousgamesfordyslexiabciarabicphonologicalprocessingtrainingsystems2014,,Design Development Empathetic Serious Games Dyslexia BCI Arabic Phonological Processing Training Systems
2430,"Sharifa Alghowinem, Sarah Alghuwinem, Majdah Alshehri, Areej Al-Wabil, Roland Goecke, Michael Wagner 0004",Design of an Emotion Elicitation Framework for Arabic Speakers.,HCI,2014,Conference and Workshop Papers,designofanemotionelicitationframeworkforarabicspeakers2014,,Design Emotion Elicitation Framework Arabic Speakers
2431,"Sahar Alkhashrami, Huda Alghamdi, Areej Al-Wabil",Human Factors in the Design of Arabic-Language Interfaces in Assistive Technologies for Learning Difficulties.,HCI,2014,Conference and Workshop Papers,humanfactorsinthedesignofarabiclanguageinterfacesinassistivetechnologiesforlearningdifficulties2014,,Human Factors Design ArabicLanguage Interfaces Assistive Technologies Learning Difficulties
2432,"Muhanna Muhanna, Edward Jaser",HCI-Based Guidelines for Electronic and Mobile Learning for Arabic Speaking Users - Do They Effectively Exist?,HCI,2014,Conference and Workshop Papers,hcibasedguidelinesforelectronicandmobilelearningforarabicspeakingusersdotheyeffectivelyexist2014,,HCIBased Guidelines Electronic Mobile Learning Arabic Speaking Users Effectively Exist
